,broad_zone,place,mean_lot_size,median_lot_size
0,Multifamily,Austin,33876.034049640686,8661.0576171875
1,Multifamily,Bartlett,6978.43936215,6978.43936215
2,Multifamily,Barton Creek,41118.70500837053,3242.794921875
3,Multifamily,Bee Cave,410527.951171875,229984.39453125
4,Multifamily,Briarcliff,62592.001953125,62592.001953125
5,Multifamily,Brushy Creek,75730.36325641001,8864.33589746
6,Multifamily,Cedar Park,106862.08796322874,4874.71341903
7,Multifamily,Florence,14661.145631395386,9947.14372909
8,Multifamily,Garfield,63246.38671875,63246.38671875
9,Multifamily,Georgetown,23892.285861851655,9655.001088134999
10,Multifamily,Granger,60440.6130312825,9258.149302365
11,Multifamily,Hornsby Bend,10558.390299479166,9227.74609375
12,Multifamily,Hudson Bend,68212.59895833333,43110.8740234375
13,Multifamily,Hutto,28153.074316062884,8893.518784425
14,Multifamily,Jarrell,14984.749856149167,9775.100713155
15,Multifamily,Jonestown,11237.365478515625,9479.43359375
16,Multifamily,Lago Vista,9821.972315588662,10168.4716796875
17,Multifamily,Lakeway,22429.281966969967,11920.3193359375
18,Multifamily,Leander,84376.2477257639,14204.1177528
19,Multifamily,Liberty Hill,20364.13462427212,7383.089348
20,Multifamily,Lost Creek,15452.851207386364,14054.52734375
21,Multifamily,Manchaca,29898.7734375,29898.7734375
22,Multifamily,Manor,7776.7684326171875,5750.408203125
23,Multifamily,Pflugerville,203501.09368489584,12264.2314453125
24,Multifamily,Point Venture,12876.475010557457,1682.88671875
25,Multifamily,Rollingwood,5508.04296875,5508.04296875
26,Multifamily,Round Rock,36700.00430514666,8391.09491528
27,Multifamily,Sonterra,39785.95584118,11020.3783571
28,Multifamily,Sunset Valley,43553.82421875,43553.82421875
29,Multifamily,Taylor,21431.995578468617,9296.355099345
30,Multifamily,The Hills,13604.438671875,11740.75390625
31,Multifamily,Thrall,10150.974747495999,10654.717540399999
32,Multifamily,Unincorporated,103731.30627457629,13854.564453125
33,Multifamily,Volente,40822.42578125,40822.42578125
34,Multifamily,Wells Branch,96697.4283854167,8830.333984375
35,Multifamily,West Lake Hills,26924.397338867188,19079.6279296875
36,Other,Austin,161232.77964280083,16236.578125
37,Other,Bartlett,30809.96154829627,10106.566610799999
38,Other,Barton Creek,331035.7676164218,86376.056640625
39,Other,Bear Creek,111182.2109375,111182.2109375
40,Other,Bee Cave,236400.74818188368,72744.9169921875
41,Other,Briarcliff,30204.578827026857,14049.6357421875
42,Other,Brushy Creek,186810.57723466514,45480.729633999996
43,Other,Cedar Park,128468.26474713083,24276.9680936
44,Other,Coupland,208294.3257642541,45112.44152275
45,Other,Creedmoor,609265.4128104972,164462.958984375
46,Other,Elgin,720111.1756904075,90987.025390625
47,Other,Florence,64852.15895748063,14071.922562600002
48,Other,Garfield,1108239.3104595407,217940.7861328125
49,Other,Georgetown,232840.39478946017,12553.671655099999
50,Other,Granger,20254.085861019743,8540.11213089
51,Other,Hornsby Bend,83903.69813036737,8401.0009765625
52,Other,Hudson Bend,175003.78081043373,29366.76953125
53,Other,Hutto,107930.48248764957,8413.546603665
54,Other,Jarrell,59175.42603686586,19316.0611242
55,Other,Jonestown,111266.1896964491,29343.60546875
56,Other,Lago Vista,38380.44976295526,11217.732421875
57,Other,Lakeway,105391.27888808142,19999.7119140625
58,Other,Leander,121415.72256275683,12688.86930225
59,Other,Liberty Hill,103530.73693601563,32225.8339597
60,Other,Lost Creek,243279.14371744802,108559.6591796875
61,Other,Manchaca,95987.79215734148,16940.0234375
62,Other,Manor,233146.72930163878,8307.5009765625
63,Other,Mustang Ridge,384055.86915676686,107514.291015625
64,Other,Pflugerville,232772.38220585094,39647.986328125
65,Other,Point Venture,52656.26631123313,11705.1201171875
66,Other,Rollingwood,67172.08706825657,32259.17578125
67,Other,Round Rock,136040.67226046338,18149.3232291
68,Other,San Leanna,32951.15866023936,18588.322265625
69,Other,Serenada,582401.540935,114250.95904300001
70,Other,Shady Hollow,285319.043247768,99351.166015625
71,Other,Sonterra,147121.15798176243,13490.7676518
72,Other,Sunset Valley,297221.8278377759,94926.1904296875
73,Other,Taylor,188716.46896675273,13500.0156333
74,Other,The Hills,227302.77885841843,12860.796875
75,Other,Thrall,40688.15431231095,8030.9752087
76,Other,Unincorporated,820626.3067156957,90412.85476930001
77,Other,Volente,165338.95456414478,54617.318359375
78,Other,Webberville,647003.3062021686,132626.98828125
79,Other,Weir,279521.0212152789,90430.27281190001
80,Other,Wells Branch,75113.50333091085,16901.583984375
81,Other,West Lake Hills,131978.3874027938,62854.013671875
82,Single Family,Austin,11507.263381870043,8230.642578125
83,Single Family,Bartlett,18156.08364803064,13087.6504267
84,Single Family,Barton Creek,57605.17513304203,42990.568359375
85,Single Family,Bear Creek,113909.50625,113676.900390625
86,Single Family,Bee Cave,32053.837597413927,11424.6259765625
87,Single Family,Briarcliff,22996.332635946328,16025.337890625
88,Single Family,Brushy Creek,15701.408404925127,8650.626172324999
89,Single Family,Cedar Park,10246.241227374583,8322.14973863
90,Single Family,Coupland,43537.795534494166,15948.5814037
91,Single Family,Creedmoor,110774.9781788793,95172.787109375
92,Single Family,Elgin,9431.67380078125,6217.29296875
93,Single Family,Florence,21934.511671545977,15071.3829773
94,Single Family,Garfield,87629.66863075658,58245.234375
95,Single Family,Georgetown,11192.391838588785,8592.63283509
96,Single Family,Granger,12570.470411974995,10861.546048100001
97,Single Family,Hornsby Bend,7353.995424312807,5750.3359375
