,broad_zone,place,Percent of Land Used
0,Multifamily,Addison,9.705830035254639
1,Multifamily,Allen,2.6512656866102944
2,Multifamily,Anna,0.0781425848491302
3,Multifamily,Arlington,0.9144464310561835
4,Multifamily,Aubrey,0.8646037148582999
5,Multifamily,Azle,0.48819144625648114
6,Multifamily,Balch Springs,3.250929825857491
7,Multifamily,Bedford,2.4668808382566834
8,Multifamily,Benbrook,1.2492264372122142
9,Multifamily,Blue Ridge,1.4565649137011636
10,Multifamily,Briar,0.04918645784122841
11,Multifamily,Burleson,0.826611450958731
12,Multifamily,Carrollton,5.944212691265959
13,Multifamily,Cedar Hill,0.9595693331368459
14,Multifamily,Celina,0.10171345884832557
15,Multifamily,Cockrell Hill,6.820566477059733
16,Multifamily,Colleyville,0.13360086666813253
17,Multifamily,Coppell,3.420027993919894
18,Multifamily,Corinth,1.412731308640441
19,Multifamily,Crowley,0.8659836966452474
20,Multifamily,Dallas,6.265120142309696
21,Multifamily,Dalworthington Gardens,1.246972264450802
22,Multifamily,DeSoto,3.0425960637387024
23,Multifamily,Denton,1.8485876490111224
24,Multifamily,Duncanville,3.3788656828516643
25,Multifamily,Euless,1.317310413029638
26,Multifamily,Everman,0.4162427697052391
27,Multifamily,Fairview,1.6322239226276642
28,Multifamily,Farmers Branch,4.608769027926004
29,Multifamily,Farmersville,0.5523790260644355
30,Multifamily,Flower Mound,0.36970491332869815
31,Multifamily,Forest Hill,0.7229108189812175
32,Multifamily,Fort Worth,0.5127989669185459
33,Multifamily,Frisco,1.8263519955224201
34,Multifamily,Garland,4.708961878191259
35,Multifamily,Glenn Heights,0.831891871971532
36,Multifamily,Grand Prairie,1.5716396347905097
37,Multifamily,Grapevine,0.6692604275845984
38,Multifamily,Haltom City,0.37456852371780347
39,Multifamily,Hebron,0.8344845892037103
40,Multifamily,Hickory Creek,0.8416549790516169
41,Multifamily,Highland Park,2.535272267104469
42,Multifamily,Highland Village,0.12154543889811734
43,Multifamily,Hurst,1.2583170691565442
44,Multifamily,Hutchins,0.3391127898039091
45,Multifamily,Irving,8.450292324526451
46,Multifamily,Josephine,0.018171344681097247
47,Multifamily,Justin,0.4593266743546775
48,Multifamily,Keller,0.32061744486548216
49,Multifamily,Kennedale,1.0154403116030841
50,Multifamily,Krum,1.0495309241370714
51,Multifamily,Lake Dallas,1.7413985437790305
52,Multifamily,Lake Worth,0.06738541564394834
53,Multifamily,Lancaster,1.096916870680103
54,Multifamily,Lavon,0.5428012435535344
55,Multifamily,Lewisville,5.812062978144546
56,Multifamily,Little Elm,1.1010138244551997
57,Multifamily,Lowry Crossing,0.21376305507974047
58,Multifamily,Mansfield,0.4727807502475221
59,Multifamily,McKinney,2.191071370775841
60,Multifamily,Melissa,0.024578036058759262
61,Multifamily,Mesquite,3.373484495846607
62,Multifamily,North Richland Hills,1.6694957302235462
63,Multifamily,Northlake,0.7335535795667197
64,Multifamily,Pantego,1.7033874251113221
65,Multifamily,Pelican Bay,0.6627874201931068
66,Multifamily,Pilot Point,0.5220780208064194
67,Multifamily,Plano,6.175764519868238
68,Multifamily,Ponder,0.21316440668101064
69,Multifamily,Princeton,0.6641396487371368
70,Multifamily,Prosper,0.32655803134743305
71,Multifamily,Rendon,0.016088055093307425
72,Multifamily,Richardson,6.390707461569503
73,Multifamily,Richland Hills,0.8635504480795386
74,Multifamily,River Oaks,0.29328823574033885
75,Multifamily,Roanoke,2.972181309595361
76,Multifamily,Rowlett,0.48253364666730825
77,Multifamily,Sachse,1.1739107567827591
78,Multifamily,Saginaw,0.5640156760060533
79,Multifamily,Sanger,0.31532262069640493
80,Multifamily,Sansom Park,0.8254589283073491
81,Multifamily,Seagoville,0.4762183229122665
82,Multifamily,Southlake,0.12096907995661993
83,Multifamily,Sunnyvale,0.17550908696233836
84,Multifamily,The Colony,3.034759760791032
85,Multifamily,Trophy Club,0.2927087332178164
86,Multifamily,Unincorporated,0.015132314002399555
87,Multifamily,University Park,6.302920056353527
88,Multifamily,Westworth Village,0.30715377636307706
89,Multifamily,White Settlement,1.9124938536180647
90,Multifamily,Wilmer,0.12801423308012824
91,Multifamily,Wylie,0.7467352876559568
92,Other,Addison,79.89880320935595
93,Other,Allen,55.77374677139003
94,Other,Anna,88.71687676136382
95,Other,Argyle,75.58520550875753
96,Other,Arlington,51.31968909023904
97,Other,Aubrey,76.99987319866662
98,Other,Azle,57.158166803428266
99,Other,Balch Springs,58.34615368846613
100,Other,Bartonville,77.69418285899185
101,Other,Bedford,33.01694910464143
102,Other,Benbrook,54.33160213138047
103,Other,Blue Mound,37.305021011755166
104,Other,Blue Ridge,71.13616940922117
105,Other,Briar,63.164312928932084
106,Other,Burleson,35.32681272924777
107,Other,Carrollton,59.53273884698805
108,Other,Cedar Hill,68.41783459164665
109,Other,Celina,80.53145264653728
110,Other,Cockrell Hill,26.55183410671726
111,Other,Colleyville,26.811813214901097
112,Other,Combine,93.13002358174063
113,Other,Coppell,60.68060682887671
114,Other,Copper Canyon,65.79151130969194
115,Other,Corinth,52.184847477572404
116,Other,Corral City,100.0
117,Other,Cross Roads,82.51915143858959
118,Other,Crowley,68.52215277365336
119,Other,DISH,81.77396587471222
120,Other,Dallas,61.441232587575534
121,Other,Dalworthington Gardens,28.33876634314278
122,Other,DeSoto,54.78924451383615
123,Other,Denton,80.38459613983804
124,Other,Double Oak,19.81684282221722
125,Other,Duncanville,37.5738976092344
126,Other,Edgecliff Village,32.14766514526904
127,Other,Euless,30.869851946351005
128,Other,Everman,48.91228733748794
129,Other,Fairview,52.60979889041953
130,Other,Farmers Branch,66.16991842897305
131,Other,Farmersville,77.34011832224043
132,Other,Ferris,99.72413476529248
133,Other,Flower Mound,55.62777240128194
134,Other,Forest Hill,42.016797593977415
135,Other,Fort Worth,76.26859200043722
136,Other,Frisco,68.5581242531942
137,Other,Garland,52.95371176930217
138,Other,Glenn Heights,69.02145473544262
139,Other,Grand Prairie,77.32995313175495
140,Other,Grapevine,69.45813487037069
141,Other,Hackberry,17.384764270854824
142,Other,Haltom City,51.517892421503255
143,Other,Haslet,76.15514805138339
144,Other,Hebron,94.89733255366839
145,Other,Hickory Creek,51.721527145252026
146,Other,Highland Park,23.448301610122492
147,Other,Highland Village,36.946053257239456
148,Other,Hurst,34.3526728468771
149,Other,Hutchins,93.5220085003915
150,Other,Irving,65.27026442044195
151,Other,Josephine,70.9825633570329
152,Other,Justin,65.1396370161457
153,Other,Keller,33.4991323273898
154,Other,Kennedale,58.390463281617414
155,Other,Krugerville,39.1364116616575
156,Other,Krum,54.62530960346913
157,Other,Lake Dallas,41.965252330737236
158,Other,Lake Worth,44.26370567456733
159,Other,Lakeside,46.93277974961365
160,Other,Lakewood Village,47.114570294679226
161,Other,Lancaster,80.9883314425174
162,Other,Lantana,52.43789156737636
163,Other,Lavon,59.80089307282165
164,Other,Lewisville,71.30320523408167
165,Other,Lincoln Park,100.0
166,Other,Little Elm,59.82793248238476
167,Other,Lowry Crossing,51.074623302115604
168,Other,Lucas,54.13269062876005
169,Other,Mansfield,58.67703415197413
170,Other,McKinney,73.00388569939167
171,Other,Melissa,81.91136618399214
172,Other,Mesquite,63.940073225872695
173,Other,Murphy,34.01899222508322
174,Other,Nevada,71.56661470653194
175,Other,New Hope,67.41987897742094
176,Other,North Richland Hills,37.53030410526298
177,Other,Northlake,95.63457450637296
178,Other,Oak Point,57.95038642884963
179,Other,Ovilla,52.44682027774957
180,Other,Paloma Creek,30.49830518777336
181,Other,Paloma Creek South,45.873392038148864
182,Other,Pantego,30.373447247884535
183,Other,Parker,57.31681841175027
184,Other,Pecan Acres,87.26156070574719
185,Other,Pelican Bay,53.04053240273496
186,Other,Pilot Point,66.99479941929391
187,Other,Plano,51.84756130212204
188,Other,Ponder,84.79588784097697
189,Other,Princeton,80.35144567603827
190,Other,Prosper,79.89913075608385
191,Other,Providence Village,43.81840292679287
192,Other,Rendon,53.98026086052171
193,Other,Reno,98.33856674656121
194,Other,Richardson,50.33315708318759
195,Other,Richland Hills,31.24896411526748
196,Other,River Oaks,24.855321140069822
197,Other,Roanoke,68.81136137590569
198,Other,Rowlett,54.725609771215176
199,Other,Royse City,94.16023250009637
200,Other,Sachse,49.778507083205675
201,Other,Saginaw,59.88504011150339
202,Other,Sanger,87.79930953075038
203,Other,Sansom Park,24.941642433865585
204,Other,Savannah,47.06858971133009
205,Other,Seagoville,81.53248977559954
206,Other,Shady Shores,49.9158829344786
207,Other,Southlake,39.36390747013195
208,Other,St. Paul,42.777012960125326
209,Other,Sunnyvale,81.22636975658999
210,Other,The Colony,58.673046088574424
211,Other,Trophy Club,33.16428229807077
212,Other,Unincorporated,93.60002378631485
213,Other,University Park,24.0571744057131
214,Other,Van Alstyne,100.0
215,Other,Watauga,21.36563752240566
216,Other,Westlake,84.23750162972867
217,Other,Westminster,85.16506143264425
218,Other,Weston,95.83373564180381
219,Other,Westover Hills,14.254041930815669
220,Other,Westworth Village,73.61536082278293
221,Other,White Settlement,53.542258850256786
222,Other,Wilmer,91.59804037817943
223,Other,Wylie,81.79204867201544
224,Other Residential,Argyle,3.8051812434281045
225,Other Residential,Aubrey,2.5158272395313857
226,Other Residential,Bartonville,2.830553835849515
