,broad_zone,place,mean_lot_size,median_lot_size
0,Multifamily,Addison,24705.623790841215,2387.9695485
1,Multifamily,Allen,19135.74733530668,2818.7033151077367
2,Multifamily,Anna,19593.17667323318,19336.136744373376
3,Multifamily,Arlington,4642.046444644465,3772.0
4,Multifamily,Aubrey,92805.60400390632,27307.3935546875
5,Multifamily,Azle,5525.700787401574,4356.0
6,Multifamily,Balch Springs,32576.285786905573,5530.038024185
7,Multifamily,Bedford,3475.701357466063,3067.5
8,Multifamily,Benbrook,5214.845124282982,4406.0
9,Multifamily,Blue Ridge,14325.92688662402,17279.875245219828
10,Multifamily,Briar,22020.75,21826.0
11,Multifamily,Burleson,4150.321428571428,3485.0
12,Multifamily,Carrollton,18744.58787740222,3234.14989125
13,Multifamily,Cedar Hill,17098.206147836165,4384.530313
14,Multifamily,Celina,15455.550382498594,10168.709489002213
15,Multifamily,Cockrell Hill,14311.62136227119,10245.112780299998
16,Multifamily,Colleyville,1431.2116788321168,0.0
17,Multifamily,Coppell,19703.44124033462,3774.00432175
18,Multifamily,Corinth,527370.9689453128,634561.936523438
19,Multifamily,Crowley,7385.816216216216,6708.0
20,Multifamily,Dallas,24798.69913260325,4832.895055
21,Multifamily,Dalworthington Gardens,4488.078947368421,3510.0
22,Multifamily,DeSoto,25222.315162578205,5747.131278935
23,Multifamily,Denton,44103.37788942753,10429.759765625
24,Multifamily,Duncanville,15472.330545472038,3272.6940000000004
25,Multifamily,Euless,4386.919902912621,4382.5
26,Multifamily,Everman,9277.0625,9186.5
27,Multifamily,Fairview,10369.440383669276,4649.504061818474
28,Multifamily,Farmers Branch,34862.48306966981,2599.2949184999998
29,Multifamily,Farmersville,39234.75039077286,13355.523858017725
30,Multifamily,Flower Mound,369965.81510416686,318307.241210938
31,Multifamily,Forest Hill,4907.162601626016,4070.0
32,Multifamily,Fort Worth,5839.118681561774,6000.0
33,Multifamily,Frisco,19691.855601486284,3432.2822296148906
34,Multifamily,Garland,15590.781107619761,2893.52289875
35,Multifamily,Glenn Heights,9206.257302998454,8026.015648505
36,Multifamily,Grand Prairie,10817.149063042662,3477.91583775
37,Multifamily,Grapevine,5733.610200364299,4440.0
38,Multifamily,Haltom City,8416.22641509434,7993.5
39,Multifamily,Hebron,38152.5568033855,2083.4638671875
40,Multifamily,Hickory Creek,541649.21484375,541649.21484375
41,Multifamily,Highland Park,8417.09183087105,7402.47357
42,Multifamily,Highland Village,11475.836983816964,3600.10400390625
43,Multifamily,Hurst,3634.293046357616,0.0
44,Multifamily,Hutchins,129929.52078767166,19895.187135449996
45,Multifamily,Irving,31574.95592186687,3379.390818375
46,Multifamily,Josephine,6982.2010741177955,6982.2010741177955
47,Multifamily,Justin,48900.0916015625,61302.0087890625
48,Multifamily,Keller,4165.987341772152,4101.0
49,Multifamily,Kennedale,5932.551282051282,4234.0
50,Multifamily,Krum,205138.5595703125,99384.11328125
51,Multifamily,Lake Dallas,23063.36701516544,3026.08935546875
52,Multifamily,Lake Worth,13263.5,13263.5
53,Multifamily,Lancaster,24031.534480812472,4623.7419902500005
54,Multifamily,Lavon,4523.733070658383,4207.8348245344605
55,Multifamily,Lewisville,36305.44315711293,2927.5830078125
56,Multifamily,Little Elm,489403.0045572926,397856.806152344
57,Multifamily,Lowry Crossing,152955.25479386744,152955.25479386744
58,Multifamily,Mansfield,6961.083756345178,4719.5
59,Multifamily,McKinney,17410.96973117668,2290.438040317306
60,Multifamily,Melissa,21476.11718277524,25336.31910475629
61,Multifamily,Mesquite,30274.2531598661,3794.9975505
62,Multifamily,North Richland Hills,5899.409900990099,4552.5
63,Multifamily,Northlake,901868.7216796894,833924.088867188
64,Multifamily,Pantego,7610.727272727273,5250.0
65,Multifamily,Pelican Bay,31642.666666666668,23664.0
66,Multifamily,Pilot Point,65471.216796875065,39533.43359375
67,Multifamily,Plano,21368.37716823568,3091.0993755899794
68,Multifamily,Ponder,73863.08056640625,73863.08056640625
69,Multifamily,Princeton,9083.410700479728,3908.469526371734
70,Multifamily,Prosper,118125.63022934705,10975.528541904148
71,Multifamily,Rendon,22149.25,16268.5
72,Multifamily,Richardson,30261.382430954156,2702.5058585
73,Multifamily,Richland Hills,8600.589285714286,6693.0
74,Multifamily,River Oaks,3938.939393939394,1887.0
75,Multifamily,Roanoke,435360.87095424114,446754.955078125
76,Multifamily,Rowlett,8457.511708126056,4459.161
77,Multifamily,Sachse,16738.6750550836,6965.5216465
78,Multifamily,Saginaw,9403.46511627907,8797.5
79,Multifamily,Sanger,48101.76788651316,12219.05859375
80,Multifamily,Sansom Park,8338.695652173914,6605.0
81,Multifamily,Seagoville,31355.79681816874,7143.30044875
82,Multifamily,Southlake,7411.653333333334,3315.0
83,Multifamily,Sunnyvale,751409.022585,751409.022585
84,Multifamily,The Colony,38740.595727178305,3173.6748046875
85,Multifamily,Trophy Club,85226.42220052083,658.548828125
86,Multifamily,Unincorporated,40682.13386828361,4765.02490234375
87,Multifamily,University Park,5876.397380809057,4550.010551875
88,Multifamily,Westworth Village,4382.92,3599.0
89,Multifamily,White Settlement,7275.071698113207,7163.0
90,Multifamily,Wilmer,49984.8394213625,48130.605875
91,Multifamily,Wylie,23857.235381251245,3778.541705338692
92,Other,Addison,99751.9389424687,39730.24892805
93,Other,Allen,83809.84130258636,8810.385374718746
94,Other,Anna,223788.07546027174,9066.204930884427
95,Other,Argyle,395802.6330785291,224005.30126953148
96,Other,Arlington,151520.1693016438,11423.0
97,Other,Aubrey,249198.4222577734,38162.2236328125
98,Other,Azle,101311.40937114673,14174.0
99,Other,Balch Springs,77354.36240713688,20579.2069
100,Other,Bartonville,425272.3698223762,244918.92333984398
101,Other,Bedford,61807.93086172345,10447.0
102,Other,Benbrook,117328.43916913947,11838.0
103,Other,Blue Mound,67069.42105263157,10662.0
104,Other,Blue Ridge,41029.09636984231,15586.879439327757
105,Other,Briar,155163.93964334705,8573.0
106,Other,Burleson,86122.76300578035,12632.0
107,Other,Carrollton,167545.42080936703,54061.876596
108,Other,Cedar Hill,183646.81432018604,35270.42371619999
109,Other,Celina,190039.7115974171,8715.801604528553
110,Other,Cockrell Hill,19450.38600441459,9582.48025
111,Other,Colleyville,48730.269969040244,11849.0
112,Other,Combine,248897.4536915695,62598.8260589
113,Other,Coppell,166071.06776543785,28791.37194995
114,Other,Copper Canyon,308485.2445078449,213506.51904296898
115,Other,Corinth,162608.87650804737,40517.38671875
116,Other,Corral City,847189.5607421875,251304.697265625
117,Other,Cross Roads,433891.28261398565,200845.658203125
118,Other,Crowley,175798.99674796747,15202.0
119,Other,DISH,311045.0151454382,92090.8212890625
120,Other,Dallas,82977.56308564128,10732.4591167
121,Other,Dalworthington Gardens,54589.596244131455,18800.0
122,Other,DeSoto,144820.3941102764,29774.5968523
123,Other,Denton,326009.7646924837,31871.890625
124,Other,Double Oak,179226.40071149572,80733.00927734375
125,Other,Duncanville,70908.9287761473,22187.256743500002
126,Other,Edgecliff Village,117911.32394366198,33147.0
127,Other,Euless,117570.76752255378,11170.0
128,Other,Everman,57755.692052980135,11606.5
129,Other,Fairview,122770.3629195484,35540.83916350314
130,Other,Farmers Branch,130892.13466242241,46653.75
131,Other,Farmersville,109867.32277600902,16068.970678002983
132,Other,Ferris,2342399.8556723334,700245.719667
133,Other,Flower Mound,309261.27263032884,78385.57470703125
134,Other,Forest Hill,44689.35923566879,13125.0
135,Other,Fort Worth,173483.19230406726,7100.0
136,Other,Frisco,123562.51509143172,9291.742451708467
137,Other,Garland,118523.01754072578,25460.776248299997
138,Other,Glenn Heights,194495.37321584785,34756.1271034
139,Other,Grand Prairie,161670.19980230057,10555.0
140,Other,Grapevine,199319.37910026134,17075.0
141,Other,Hackberry,33805.02842494421,5629.1767578125
142,Other,Haltom City,52369.423815621,10803.0
143,Other,Haslet,344881.8568734976,117873.0
144,Other,Hebron,299220.48995027656,46853.8544921875
145,Other,Hickory Creek,113216.05818186654,37611.767578125
146,Other,Highland Park,67879.87606447146,13667.707675000001
147,Other,Highland Village,185688.9426687265,42509.470703125
148,Other,Hurst,57901.12173913044,10942.0
149,Other,Hutchins,368142.4476708299,34316.3314856
150,Other,Irving,110957.1634225149,17996.4996499
151,Other,Josephine,68357.16900899628,20953.34987025635
152,Other,Justin,82952.03841301592,7119.86083984375
153,Other,Keller,74029.65554359526,20010.0
154,Other,Kennedale,76097.32507149667,20821.0
155,Other,Krugerville,216623.46319986982,55297.52880859375
156,Other,Krum,160153.7944775391,27563.20458984375
157,Other,Lake Dallas,73816.47864913945,19386.9814453125
158,Other,Lake Worth,34849.776,9865.5
159,Other,Lakeside,134949.23770491802,31860.0
160,Other,Lakewood Village,217245.87700452324,72750.06982421875
161,Other,Lancaster,246468.2078490803,27363.3348509
162,Other,Lantana,76836.21851519808,9067.240234375
163,Other,Lavon,90873.37633304592,6848.450967736159
164,Other,Lewisville,221669.91462079663,42876.049562256245
165,Other,Lincoln Park,541719.1336669927,160579.77294921898
166,Other,Little Elm,174958.18556507854,39622.330078125
167,Other,Lowry Crossing,212475.3138295532,81932.73072784768
168,Other,Lucas,213131.78632340697,90364.64178428712
169,Other,Mansfield,138936.18367346938,26659.5
170,Other,McKinney,103932.82294599571,7439.021031976049
171,Other,Melissa,124187.82439698032,7636.181976048375
172,Other,Mesquite,207062.23290133206,41636.14380585
173,Other,Murphy,95909.3369156124,29823.719918199182
174,Other,Nevada,166927.15589449677,36456.887415804136
175,Other,New Hope,250531.21867687654,86937.45212231862
176,Other,North Richland Hills,60390.02028854824,10017.5
177,Other,Northlake,739484.8655762742,96790.0234375
178,Other,Oak Point,285802.07446816,84426.54833984375
179,Other,Ovilla,188131.91205346995,115216.9823615
180,Other,Paloma Creek,97034.17257254473,21357.18212890625
181,Other,Paloma Creek South,41008.793999566005,5775.5244140625
182,Other,Pantego,16404.315018315017,2500.0
183,Other,Parker,177367.0368660852,57671.249971631885
184,Other,Pecan Acres,501349.7244897959,17361.5
185,Other,Pelican Bay,15132.972111553785,7558.0
186,Other,Pilot Point,92324.0189118917,19738.02734375
187,Other,Plano,120910.10051411737,22336.07436854068
188,Other,Ponder,432094.36824304936,80843.65283203125
189,Other,Princeton,133336.36580089634,6505.390736677544
190,Other,Prosper,145795.74331007898,13446.505258322415
191,Other,Providence Village,142598.00076095795,8270.33984375
192,Other,Rendon,183726.55562422745,43560.0
193,Other,Reno,65013.51351351351,22651.0
194,Other,Richardson,119765.72834810216,30692.698590400003
195,Other,Richland Hills,36234.232848232845,12887.0
196,Other,River Oaks,39625.35611510791,9818.0
197,Other,Roanoke,147297.97322710085,32734.6435546875
