,broad_zone,place,mean_lot_size,median_lot_size
0,Multifamily,Aldine,32840.064249799616,14629.455834982415
1,Multifamily,Arcola,18004.792238874074,9843.72147151
2,Multifamily,Atascocita,102461.53921990687,23132.648016881005
3,Multifamily,Barrett,101889.74067641947,9967.005708841923
4,Multifamily,Baytown,49726.941221476154,7003.3617044627745
5,Multifamily,Beasley,12179.05034473692,9238.37463018
6,Multifamily,Bellaire,13053.228719968083,7503.639311908277
7,Multifamily,Channelview,30571.095738720498,14085.78335517489
8,Multifamily,Cinco Ranch,469206.5349177806,552775.9337255731
9,Multifamily,Cloverleaf,8403.41530557909,5612.455225965105
10,Multifamily,Conroe,57117.87500415254,3701.857132885274
11,Multifamily,Crosby,32168.289856441832,14987.83644245349
12,Multifamily,Cumings,63627.883696644996,39585.579460600005
13,Multifamily,Deer Park,112636.17436338539,10925.577965204016
14,Multifamily,El Lago,39139.36592718005,9421.47257092156
15,Multifamily,Fairchilds,80852.99672791817,75640.74321639999
16,Multifamily,Fifth Street,9475.578817792144,7853.70823212
17,Multifamily,Four Corners,37488.857121763845,21515.1900357
18,Multifamily,Fresno,23807.07319973126,9365.282728995
19,Multifamily,Friendswood,235931.01457553369,154595.851627485
20,Multifamily,Fulshear,46810.713575977854,21514.70929693
21,Multifamily,Galena Park,8585.236725570036,6113.035109961274
22,Multifamily,Greatwood,4849.816124334798,3397.79014421
23,Multifamily,Hedwig Village,171510.94835156808,171510.94835156808
24,Multifamily,Highlands,27009.24287424068,12234.848729395486
25,Multifamily,Houston,42431.394572724465,6849.766629420289
26,Multifamily,Humble,28117.005318330113,7501.565872303808
27,Multifamily,Hunters Creek Village,19839.04009453094,22265.216838833505
28,Multifamily,Jacinto City,28833.39331383942,10211.315317608283
29,Multifamily,Jersey Village,287538.1563444133,32662.924664207818
30,Multifamily,Katy,43238.028476332096,10004.11136256774
31,Multifamily,Kendleton,19632.7169924,10813.19506455
32,Multifamily,La Porte,39443.20205651049,7897.809624538102
33,Multifamily,League City,244714.26105008658,16107.711779653368
34,Multifamily,Magnolia,136485.63129610984,86313.8232299684
35,Multifamily,Meadows Place,2047.792322680206,2222.4971080650002
36,Multifamily,Mission Bend,12235.497710748896,4489.708514649999
37,Multifamily,Missouri City,6879.08137745699,2511.08207113
38,Multifamily,Montgomery,308608.82461499213,371100.30939642
39,Multifamily,Morgan's Point,34757.354616985496,12352.04712064554
40,Multifamily,Nassau Bay,134877.0724446818,124391.26459035698
41,Multifamily,Needville,23586.717628883445,14827.912970899999
42,Multifamily,New Territory,164367.71035690996,45951.2079959
43,Multifamily,Orchard,16803.849057670002,11284.7219475
44,Multifamily,Panorama Village,3553.001345324878,1103.668591370549
45,Multifamily,Pasadena,63530.45407474879,9106.867560289453
46,Multifamily,Patton Village,25381.03949308845,25381.03949308845
47,Multifamily,Pearland,153291.79026988056,114421.52181025778
48,Multifamily,Pecan Grove,443348.17355235,194511.87933100003
49,Multifamily,Piney Point Village,30533.942438595783,30533.942438595783
50,Multifamily,Pleak,72011.762524605,62860.6615264
51,Multifamily,Richmond,34106.426986714,7133.75409863
52,Multifamily,Roman Forest,25618.00796408575,30206.799720839997
53,Multifamily,Rosenberg,32662.236888665706,6880.89153424
54,Multifamily,Seabrook,83143.72937831843,10215.764361351752
55,Multifamily,Sheldon,24454.809006422987,18135.888416057667
56,Multifamily,Shenandoah,455278.7597498959,428590.5799409397
57,Multifamily,Shoreacres,23472.347629905613,13924.41683551997
58,Multifamily,Sienna Plantation,124630.28369015554,62731.535060300004
59,Multifamily,Simonton,44710.72923397167,42351.9845672
60,Multifamily,South Houston,16394.603241333014,7188.323324878014
61,Multifamily,Southside Place,76881.78354564613,39961.68274634689
62,Multifamily,Spring,79286.73894391523,21896.049737232643
63,Multifamily,Spring Valley Village,18804.159901824307,18757.76719812073
64,Multifamily,Stafford,173120.1326544565,12279.998707328554
65,Multifamily,Sugar Land,6411.185886355386,1147.8066357999999
66,Multifamily,Taylor Lake Village,32113.28820330611,26206.304312694017
67,Multifamily,The Woodlands,28881.752397564705,2383.2763460367823
68,Multifamily,Thompsons,58640.2584183725,47082.8883355
69,Multifamily,Tomball,49229.15680529378,9745.016476445391
70,Multifamily,Unincorporated,56022.96804219059,7356.340073643071
71,Multifamily,Waller,82672.55326702291,11816.859133046704
72,Multifamily,Webster,462114.5588504424,329155.1395200668
73,Multifamily,West University Place,6781.196565066001,6218.6976437498315
74,Multifamily,Weston Lakes,109705.420165875,109705.420165875
75,Multifamily,Willis,86869.72860982726,31957.11088646882
76,Other,Aldine,75931.7738172583,26158.92748776143
77,Other,Alvin,435571.07778199995,435571.07778199995
78,Other,Arcola,66996.36786075213,9921.49707736
79,Other,Atascocita,74765.92370667915,6872.58861408094
80,Other,Barrett,92942.30030128866,10003.43347782225
81,Other,Baytown,95639.50512168586,12498.59317831755
82,Other,Beasley,146346.20073191772,13842.509536000001
83,Other,Bellaire,36824.53328239447,8984.428375890999
84,Other,Bunker Hill Village,75729.03080937758,24837.267375658463
85,Other,Channelview,95492.72202562183,20040.246798416054
86,Other,Cinco Ranch,80180.91798850617,27044.633509099996
87,Other,Cleveland,1052343.9359700033,312418.6019350752
88,Other,Cloverleaf,28232.52947287176,10108.317069170931
89,Other,Conroe,115592.24654246167,12091.785864399004
90,Other,Crosby,82435.8337849168,14990.131836688415
91,Other,Cumings,311797.53356139595,19938.7498551
92,Other,Cut and Shoot,134862.29403175256,58292.5748317946
93,Other,Deer Park,112511.55941697556,35960.62229695996
94,Other,El Lago,58392.72338112611,18314.28110980241
95,Other,Fairchilds,181389.32058451956,63390.7338646
96,Other,Fifth Street,74452.37330553289,13954.539243799998
97,Other,Four Corners,57546.192483619496,21797.4311961
98,Other,Fresno,40467.23980963802,11449.8823273
99,Other,Friendswood,270255.7273531407,26388.764182700965
100,Other,Fulshear,76663.65079803877,10827.1541243
101,Other,Galena Park,125362.697437706,10060.905909570556
102,Other,Greatwood,45377.52383506852,21351.1903319
103,Other,Hedwig Village,81162.49409628348,31620.56971467295
104,Other,Highlands,107099.49523823484,17715.53846303109
105,Other,Hilshire Village,29452.35984931308,8703.513569722423
106,Other,Houston,66499.51075392983,9598.204498742722
107,Other,Humble,113453.3222330092,19746.27624701865
108,Other,Hunters Creek Village,65966.53731041435,23205.277187562217
109,Other,Jacinto City,52216.211946966236,11364.58053686838
110,Other,Jersey Village,121350.34418828094,33903.497501152364
111,Other,Katy,105699.06332693853,21647.28651910896
112,Other,Kendleton,54767.79235935965,8858.446175785
113,Other,La Porte,82287.8734319329,11352.331268433561
114,Other,League City,324375.7782572898,22615.083937955096
115,Other,Magnolia,121491.59014405825,19456.97493202793
116,Other,Meadows Place,62771.768008637875,35139.4745968
117,Other,Mission Bend,57562.72101307521,23877.056233
118,Other,Missouri City,92030.89555381349,22236.681097250002
119,Other,Mont Belvieu,213453.62580454,213453.62580454
120,Other,Montgomery,153122.57708810165,17859.454452171878
121,Other,Morgan's Point,85241.50520868307,13719.384298727842
122,Other,Nassau Bay,96973.31349463551,36024.8044844009
123,Other,Needville,40826.98281027262,12395.7323313
124,Other,New Territory,65115.70226587252,26849.644179400002
125,Other,Oak Ridge North,73678.83718328504,34217.0319800688
126,Other,Orchard,39742.794189180015,11274.314773200002
127,Other,Panorama Village,18541.50042822197,8088.948368368676
128,Other,Pasadena,95195.05187774687,17222.879033042846
129,Other,Patton Village,39605.04382521298,18347.59245399077
130,Other,Pearland,82084.3712211092,10161.739316299998
131,Other,Pecan Grove,83085.58920265992,12482.3502248
132,Other,Pinehurst,196684.927495528,23243.63303940832
133,Other,Piney Point Village,104256.76433430517,40900.84932817487
134,Other,Pleak,115889.31858227847,42816.9129531
135,Other,Porter Heights,194404.34997533337,33775.22266135006
136,Other,Richmond,55873.82520298286,12320.0703929
137,Other,Roman Forest,27522.3626893689,20612.619361849727
138,Other,Rosenberg,171912.2342575482,20102.468828400004
139,Other,Seabrook,69760.83958816694,12474.43861320867
140,Other,Sheldon,336645.67681316956,50676.8835765784
141,Other,Shenandoah,73688.17426746739,9296.113761419325
142,Other,Shoreacres,22208.186361298067,13007.632023528855
143,Other,Sienna Plantation,98753.62513830757,13323.7128244
144,Other,Simonton,156533.52879658603,46026.51851225
145,Other,South Houston,16570.44036676767,7331.136298169195
146,Other,Southside Place,12419.29369407789,2183.4891576045393
147,Other,Splendora,101422.5246506277,40169.06564895668
148,Other,Spring,153285.58095943273,16916.95609062384
149,Other,Spring Valley Village,44554.382908918444,11972.62487516562
150,Other,Stafford,82879.84912664312,32491.005104400003
151,Other,Stagecoach,47535.52163627047,15026.807185237281
152,Other,Sugar Land,96829.51327698967,23621.3519773
153,Other,Taylor Lake Village,40788.60441468093,13116.781661531666
154,Other,The Woodlands,99713.18777916873,13110.394179226094
155,Other,Thompsons,1727050.1274933608,133844.367723
156,Other,Tomball,110978.83940097659,21840.623616417124
157,Other,Unincorporated,248722.68334232058,20282.699679028392
158,Other,Waller,175162.64830742343,42779.62955518684
159,Other,Webster,131446.8041535543,37938.168947630766
160,Other,West University Place,14798.119183907396,6981.926219325039
161,Other,Weston Lakes,66479.31677148849,22680.730352000002
162,Other,Willis,102471.21749887012,14935.882524443741
163,Other,Woodbranch,39629.150091138275,20001.297944417423
164,Other,Woodloch,30655.385107109938,14610.107287421177
165,Single Family,Aldine,23336.65335923481,11668.42120411781
166,Single Family,Arcola,25469.17024618896,10731.5295198
167,Single Family,Atascocita,8426.828629825648,7254.620368041233
168,Single Family,Barrett,24605.386272584255,9949.733957532737
169,Single Family,Baytown,11824.994261862374,7924.610970614806
170,Single Family,Beasley,11924.113941760988,7490.636326155
171,Single Family,Bellaire,8962.329692896845,8104.13282986007
172,Single Family,Bunker Hill Village,23643.84708828277,21165.43711080643
173,Single Family,Channelview,12289.32236997622,6385.563491587528
174,Single Family,Cinco Ranch,9933.909737998287,9301.947602324999
175,Single Family,Cleveland,312490.12698013056,197577.99946780474
176,Single Family,Cloverleaf,8515.035810497531,7820.93133818318
177,Single Family,Conroe,17335.078285327203,9208.263060138415
178,Single Family,Crosby,20517.952121567698,11689.683993475985
179,Single Family,Cumings,27712.622382987516,7099.380276405
180,Single Family,Cut and Shoot,101122.97744494797,67848.71845681651
181,Single Family,Deer Park,9074.019920775288,7591.244560831594
182,Single Family,El Lago,12196.556647934636,9932.219694316498
183,Single Family,Fairchilds,66962.11289233857,45154.73498565001
184,Single Family,Fifth Street,12345.238025495764,7310.336200215
185,Single Family,Four Corners,10089.604142833618,6680.56918917
186,Single Family,Fresno,12166.215090125204,6924.096418165
187,Single Family,Friendswood,9529.14640114133,7932.497903155687
188,Single Family,Fulshear,15737.600349658072,9913.64038483
189,Single Family,Galena Park,7017.610892847609,6346.887726553314
190,Single Family,Greatwood,9805.969272940789,9096.7922713
191,Single Family,Hedwig Village,21246.92607531529,19558.03218738211
192,Single Family,Highlands,27315.695529057517,12800.913355230901
193,Single Family,Hilshire Village,16411.601906674132,14673.99641849993
194,Single Family,Houston,8252.532411003234,7207.560918556325
195,Single Family,Humble,11205.325542924213,7676.839707126269
196,Single Family,Hunters Creek Village,26598.68957449182,22721.34282466737
197,Single Family,Jacinto City,7776.691347991417,6445.676538305013
198,Single Family,Jersey Village,13969.657405115893,12688.871554098137
199,Single Family,Katy,13932.747325864211,9478.404247405755
200,Single Family,Kendleton,16018.616407435897,8632.36129777
201,Single Family,La Porte,12141.271251728098,7282.663110348678
202,Single Family,League City,11396.882833254427,8250.011249919155
203,Single Family,Magnolia,29015.31956262059,12393.843380128386
204,Single Family,Meadows Place,7956.987221459181,7536.87629696
205,Single Family,Mission Bend,7256.220891654911,7099.532715275
206,Single Family,Missouri City,10062.712667574042,7701.7000909
207,Single Family,Montgomery,32530.41997608612,16785.16734488155
208,Single Family,Morgan's Point,41499.38310208484,30323.22269810911
209,Single Family,Nassau Bay,9298.734382977522,9323.380210427877
210,Single Family,Needville,17272.884457058215,10914.8304567
211,Single Family,New Territory,9249.585762046712,8486.76097255
212,Single Family,Oak Ridge North,14143.646677775729,11394.339250759798
213,Single Family,Orchard,18018.657526930736,13622.274865200001
214,Single Family,Panorama Village,11255.36109207112,8980.437607825022
