PROJECT_NO,Approval
15117667,1
15012776,1
16033180,1
13101272,0
17122786,0
17122759,1
13019923,0
12097141,1
12097153,1
17122497,0
17020597,1
17113568,1
13125463,1
13007222,1
15086015,1
13112672,0
14004047,1
13116155,1
13110848,
14121477,1
13129908,1
15087095,1
13025516,1
16032782,1
13128711,1
18015234,
16004826,0
16004513,0
13111687,0
13121420,1
12091878,1
17132723,1
13107765,1
14009128,1
14098721,0
15076236,1
16023303,1
17132498,1
18017779,1
13100547,1
13113385,1
13108183,1
13128332,1
13119258,1
13100794,0
13128345,
13128922,1
13129009,0
14009215,1
13117396,1
16004936,0
16004520,0
12092785,1
12092401,1
15021345,
15011206,1
15003631,1
15003890,1
15101234,0
12103216,1
12103089,1
15000522,1
13008868,1
12101387,0
12102000,1
13101539,0
14122414,1
14121155,1
14122412,1
13118291,1
14000249,1
15004668,1
14134637,1
15133039,1
13100543,1
12113443,1
12113439,1
15040688,1
17117274,1
15138155,1
15138095,0
14069766,1
14069363,1
17124291,1
13071346,1
13068757,1
12096657,0
17020617,1
12096627,1
14002241,1
14093010,1
14092330,1
13110365,0
12082231,1
16017371,1
13107924,1
13119739,1
13119298,1
17088916,1
14100748,1
14100754,1
14100260,1
14100285,1
13112819,0
17105709,1
15114756,1
15115502,0
13117634,1
13125387,1
12082829,0
12111082,1
18021217,1
18021344,1
12082524,1
13014945,1
17068464,
14009193,1
12084797,1
15092411,0
15092400,0
14098591,0
12101383,1
12102015,1
13100498,1
13129407,1
15101227,0
17127645,
15071795,1
13112316,1
15072056,1
15071953,1
13107671,0
13128611,1
13128621,1
14003520,1
13101991,1
13006017,1
13017868,1
13009133,1
12092568,1
12092333,1
14000142,1
13124759,1
14000306,1
14011357,1
13122694,1
13104739,1
12103097,1
12103224,1
13109546,0
15090632,1
13026339,1
13130135,1
13123664,1
13092778,1
14005152,1
13098391,1
16026089,1
13114572,0
14011193,1
14085260,1
14086208,0
14084674,0
14086555,0
14074839,1
13106495,1
13116843,1
17114250,
13108344,1
13025562,1
13126700,1
13125502,1
15092554,1
13112623,0
13112627,0
14000589,1
12092003,1
13002636,1
17068498,1
13130568,0
13118319,1
13111199,1
13118823,1
15046096,1
15132513,1
15092901,1
13130153,1
13113409,1
14004308,1
14004365,1
12092422,1
12092576,1
13017898,
15108263,1
13043482,1
12113249,0
15117754,1
14004333,0
13112820,1
13112908,0
13111403,1
16024660,1
15092560,
14011240,0
14011748,1
14002011,1
14002473,1
13126935,1
13099625,1
13113310,1
17128623,1
17134796,1
12110861,0
12117155,1
12117149,0
17100031,1
13007646,0
13025716,1
13025566,1
13025418,1
15092555,
15092460,
13023492,1
13109542,0
13025532,1
15092503,
13104385,1
18017940,0
18018017,1
16069589,0
15121824,0
13101812,1
14002466,1
14011721,1
15087196,1
14006737,0
13106178,1
14009091,1
13122346,1
15009803,1
15002411,1
12113251,0
12113610,
12113730,0
15064693,1
14004114,1
13113445,1
15071938,1
14011195,1
13130503,1
14011303,0
15097424,1
15097379,1
12097157,1
15115987,1
14105923,1
15132778,1
15097709,1
15097461,0
18021127,0
17122815,0
17020639,1
17104477,1
17104345,1
15092528,0
15092481,
13025518,1
14116446,1
15130897,1
13125233,1
15091295,1
12118105,1
13014658,1
17076050,1
12109013,0
13128613,1
13128610,1
14010465,1
15026760,1
13110686,1
13117709,1
14007128,1
14007233,1
13102502,1
13112523,
13121228,0
13121163,1
15128503,0
15128327,1
12092288,1
13120737,1
16015331,
13008505,1
13122732,1
